# Undirected graph (each unordered pair of nodes is saved once): mygraph.txt
# Nodes: 100 Edges: 1000
# NodeId	NodeId
0	3
0	6
0	7
0	17
0	28
0	33
0	37
0	39
0	49
0	50
0	54
0	56
0	60
0	66
0	69
0	75
0	77
0	80
0	84
0	85
0	86
0	93
0	95
1	9
1	17
1	21
1	26
1	38
1	39
1	41
1	57
1	58
1	60
1	70
1	72
1	76
1	77
1	82
1	94
1	97
2	3
2	7
2	10
2	12
2	13
2	16
2	19
2	32
2	33
2	37
2	39
2	43
2	48
2	57
2	59
2	60
2	90
2	92
2	94
2	99
3	13
3	18
3	21
3	31
3	42
3	50
3	54
3	58
3	59
3	75
3	88
3	89
3	90
3	91
3	92
3	95
3	96
3	97
4	8
4	9
4	10
4	14
4	17
4	21
4	23
4	28
4	31
4	37
4	40
4	41
4	45
4	47
4	53
4	54
4	55
4	56
4	59
4	71
4	72
4	79
4	80
4	81
4	88
4	97
5	9
5	10
5	12
5	13
5	15
5	20
5	25
5	30
5	35
5	39
5	46
5	47
5	52
5	53
5	57
5	60
5	86
5	88
5	96
5	98
6	7
6	8
6	12
6	20
6	22
6	23
6	27
6	28
6	34
6	39
6	40
6	41
6	43
6	44
6	56
6	60
6	65
6	67
6	68
6	69
6	71
6	79
6	83
6	85
6	88
6	91
6	96
7	9
7	13
7	18
7	25
7	28
7	41
7	76
7	79
7	82
7	84
7	85
7	88
7	96
7	98
8	12
8	14
8	15
8	19
8	25
8	31
8	37
8	40
8	41
8	43
8	63
8	70
8	81
8	84
8	85
8	90
8	93
8	94
8	96
9	14
9	16
9	18
9	19
9	28
9	35
9	40
9	77
9	88
9	97
10	12
10	22
10	30
10	42
10	44
10	56
10	57
10	68
10	69
10	83
10	85
10	87
10	91
10	95
11	23
11	25
11	30
11	35
11	38
11	40
11	42
11	43
11	45
11	47
11	49
11	56
11	57
11	59
11	65
11	66
11	70
11	75
11	76
11	83
11	90
11	97
12	24
12	36
12	40
12	41
12	48
12	51
12	56
12	72
12	77
12	95
13	25
13	26
13	33
13	37
13	54
13	55
13	59
13	68
13	71
13	73
13	80
13	87
13	96
13	97
14	15
14	16
14	26
14	29
14	35
14	37
14	38
14	41
14	42
14	50
14	51
14	55
14	57
14	58
14	63
14	68
14	70
14	71
14	84
14	90
14	95
15	19
15	22
15	24
15	36
15	43
15	47
15	48
15	52
15	57
15	60
15	67
15	72
15	75
15	79
15	81
15	99
16	23
16	24
16	27
16	29
16	41
16	46
16	50
16	53
16	61
16	74
16	75
16	77
16	78
16	82
16	85
16	87
16	90
16	91
16	97
17	18
17	23
17	24
17	32
17	33
17	35
17	42
17	52
17	60
17	61
17	67
17	68
17	69
17	72
17	78
18	20
18	25
18	28
18	35
18	45
18	47
18	52
18	62
18	64
18	74
18	77
18	84
18	91
18	92
18	94
18	97
19	30
19	32
19	38
19	42
19	50
19	53
19	57
19	58
19	62
19	68
19	72
19	82
19	86
19	88
19	94
19	97
19	98
20	25
20	35
20	38
20	42
20	44
20	57
20	60
20	63
20	64
20	66
20	70
20	72
20	86
20	91
20	94
20	97
20	98
21	22
21	24
21	25
21	30
21	39
21	44
21	45
21	47
21	54
21	57
21	61
21	63
21	68
21	69
21	71
21	81
21	82
21	84
21	94
21	98
22	30
22	51
22	69
22	75
22	81
22	84
22	93
23	24
23	29
23	40
23	43
23	52
23	55
23	56
23	63
23	65
23	71
23	77
23	86
23	92
23	95
23	96
23	98
23	99
24	28
24	29
24	31
24	35
24	40
24	43
24	50
24	55
24	61
24	76
24	84
24	85
24	89
25	29
25	30
25	31
25	40
25	41
25	44
25	45
25	46
25	48
25	50
25	58
25	60
25	61
25	64
25	88
25	89
25	91
25	97
25	98
25	99
26	44
26	53
26	56
26	64
26	72
26	77
26	83
26	87
26	93
27	29
27	31
27	32
27	42
27	57
27	61
27	64
27	65
27	67
27	72
27	74
27	75
27	76
27	78
27	89
27	90
27	94
27	96
27	97
27	98
28	40
28	46
28	51
28	56
28	59
28	61
28	67
28	70
28	73
28	74
28	76
28	79
28	81
28	84
28	95
28	97
28	98
29	31
29	34
29	35
29	36
29	38
29	43
29	47
29	48
29	54
29	59
29	63
29	65
29	73
29	76
29	85
29	89
29	93
29	96
30	32
30	34
30	45
30	46
30	59
30	75
30	82
30	99
31	34
31	45
31	46
31	52
31	57
31	64
31	73
31	74
31	77
31	79
31	81
31	84
31	92
31	94
32	38
32	39
32	43
32	59
32	63
32	65
32	66
32	79
32	80
32	83
32	85
32	90
32	91
32	94
32	95
32	97
33	34
33	35
33	38
33	41
33	51
33	54
33	57
33	60
33	61
33	64
33	65
33	69
33	70
33	75
33	76
33	77
33	78
33	81
33	83
33	92
33	95
34	37
34	41
34	43
34	44
34	46
34	48
34	49
34	51
